config_id,fold_id,fold_date,script_path,raw_path,artifact_id,script_word_count,length_compliant,balanced_score,editorial_score,attention_score,voice_score,seo_score,factuality_risk,ai_smell_risk
g08_fit_dense_6b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g08_fit_dense_6b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g08_fit_dense_6b/fold_2026_09_24.json,10839795534,1577,True,6.945,7.1,7.4,7.8,6.5,medium,low
g09_fit_minimal_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g09_fit_minimal_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g09_fit_minimal_4b/fold_2026_08_31.json,10839391697,1548,True,7.035,7.4,7.1,8.0,6.6,medium,low
g09_fit_minimal_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g09_fit_minimal_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g09_fit_minimal_4b/fold_2026_09_04.json,10839391697,1564,True,6.885,7.1,6.8,8.0,6.7,medium,low
g09_fit_minimal_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g09_fit_minimal_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g09_fit_minimal_4b/fold_2026_09_24.json,10839391697,1574,True,6.71,7.2,7.6,6.9,6.2,medium,low
g10_after_dense_6b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g10_after_dense_6b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g10_after_dense_6b/fold_2026_08_31.json,10838999390,1679,False,7.39,8.1,7.8,7.6,7.2,medium,low
g10_after_dense_6b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g10_after_dense_6b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g10_after_dense_6b/fold_2026_09_04.json,10838999390,1594,True,6.23,6.9,6.6,7.1,7.2,medium,medium
g10_after_dense_6b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g10_after_dense_6b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g10_after_dense_6b/fold_2026_09_24.json,10838999390,1822,False,7.28,7.4,7.6,8.1,7.2,low,medium
g11_turn_scene_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g11_turn_scene_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g11_turn_scene_4b/fold_2026_08_31.json,10839585700,1597,True,7.225,7.2,7.8,8.1,6.9,medium,low
g11_turn_scene_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g11_turn_scene_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g11_turn_scene_4b/fold_2026_09_04.json,10839585700,1493,True,7.07,7.2,7.6,7.8,6.8,medium,low
g11_turn_scene_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g11_turn_scene_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g11_turn_scene_4b/fold_2026_09_24.json,10839585700,1542,True,6.785,7.2,6.7,7.6,6.8,medium,low
g12_callback_scene_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g12_callback_scene_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g12_callback_scene_5b/fold_2026_08_31.json,10839396636,1519,True,6.67,6.1,7.2,8.3,6.0,medium,low
g12_callback_scene_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g12_callback_scene_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g12_callback_scene_5b/fold_2026_09_04.json,10839396636,1440,True,7.635,8.1,8.6,7.9,6.9,medium,low
g12_callback_scene_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g12_callback_scene_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g12_callback_scene_5b/fold_2026_09_24.json,10839396636,1617,True,6.93,7.4,6.8,8.1,6.2,medium,low
g13_fit_spoken_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g13_fit_spoken_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g13_fit_spoken_5b/fold_2026_08_31.json,10839481544,1533,True,7.195,7.6,7.2,8.1,6.9,medium,low
g13_fit_spoken_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g13_fit_spoken_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g13_fit_spoken_5b/fold_2026_09_04.json,10839481544,1514,True,6.45,6.9,6.8,6.6,7.0,medium,low
g13_fit_spoken_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g13_fit_spoken_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g13_fit_spoken_5b/fold_2026_09_24.json,10839481544,1547,True,6.615,6.8,7.3,8.2,6.6,medium,medium
g14_fit_discovery_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g14_fit_discovery_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g14_fit_discovery_4b/fold_2026_08_31.json,10839495789,1595,True,6.93,7.2,6.8,8.1,6.6,medium,low
g14_fit_discovery_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g14_fit_discovery_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g14_fit_discovery_4b/fold_2026_09_04.json,10839495789,1616,True,6.445,7.1,6.9,6.4,6.8,medium,low
g14_fit_discovery_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g14_fit_discovery_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g14_fit_discovery_4b/fold_2026_09_24.json,10839495789,1504,True,6.565,7.1,7.4,7.6,6.7,medium,medium
g15_fit_no_counter,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g15_fit_no_counter/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g15_fit_no_counter/fold_2026_08_31.json,10839350964,1547,True,6.725,7.6,7.2,7.7,6.9,medium,medium
g15_fit_no_counter,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g15_fit_no_counter/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g15_fit_no_counter/fold_2026_09_04.json,10839350964,1495,True,6.58,7.2,6.9,6.8,6.7,medium,low
g15_fit_no_counter,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g15_fit_no_counter/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g15_fit_no_counter/fold_2026_09_24.json,10839350964,1473,True,7.795,8.1,8.4,8.6,6.9,medium,low
g16_fit_more_evidence,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g16_fit_more_evidence/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g16_fit_more_evidence/fold_2026_08_31.json,10839941203,1619,True,6.99,7.1,8.0,7.6,6.2,medium,low
g16_fit_more_evidence,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g16_fit_more_evidence/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g16_fit_more_evidence/fold_2026_09_04.json,10839941203,1912,False,6.485,7.2,6.4,6.8,6.9,medium,low
g16_fit_more_evidence,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g16_fit_more_evidence/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g16_fit_more_evidence/fold_2026_09_24.json,10839941203,1675,False,6.285,7.2,6.1,7.6,6.8,medium,medium
g17_fit_early_thesis,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g17_fit_early_thesis/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g17_fit_early_thesis/fold_2026_08_31.json,10839901320,1778,False,6.76,7.4,7.2,6.8,7.0,medium,low
g17_fit_early_thesis,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g17_fit_early_thesis/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g17_fit_early_thesis/fold_2026_09_04.json,10839901320,1688,False,6.325,7.1,7.4,6.8,6.7,medium,medium
g17_fit_early_thesis,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g17_fit_early_thesis/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g17_fit_early_thesis/fold_2026_09_24.json,10839901320,2113,False,7.515,8.1,7.7,8.2,7.0,medium,low
g18_after_paradox_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g18_after_paradox_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g18_after_paradox_4b/fold_2026_08_31.json,10839144055,1600,True,6.675,6.8,7.1,7.4,6.6,medium,low
g18_after_paradox_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g18_after_paradox_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g18_after_paradox_4b/fold_2026_09_04.json,10839144055,1950,False,6.605,7.6,7.8,7.0,6.5,medium,medium
g18_after_paradox_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g18_after_paradox_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g18_after_paradox_4b/fold_2026_09_24.json,10839144055,1403,True,6.66,7.0,7.6,7.8,6.8,medium,medium
g19_turn_minimal_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g19_turn_minimal_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g19_turn_minimal_5b/fold_2026_08_31.json,10839875647,1522,True,6.89,7.2,6.7,8.3,6.1,medium,low
g19_turn_minimal_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g19_turn_minimal_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g19_turn_minimal_5b/fold_2026_09_04.json,10839875647,1517,True,7.41,8.2,7.4,7.6,7.8,medium,low
g19_turn_minimal_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g19_turn_minimal_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g19_turn_minimal_5b/fold_2026_09_24.json,10839875647,1569,True,7.55,7.9,7.6,8.6,7.0,medium,low
